leiden_sub,cell_id,cell_label,evidence,dataset_count,shared_markers,gene_expr_markers
"0,0",CL:0002138,endothelial cell of lymphatic vessel,954,786,OXR1; PTPRM; LRMDA; KIAA1217; AUTS2; NPAS3; BNC2; ZFPM2; ADGRL2; IL1R1; NRG3; PCDH7; PKHD1L1,AP1G2-AS1; GALNT4; PREX2; MPP7; ACSM3; MPZL2; OXR1; IGF1; FLVCR2; PTPN14; PKHD1L1; KLHL4; AUTS2; TBX1; LRMDA; LDB2; ZFHX3; CD36; ADGRL2; LYVE1; AKAP12; CA4; TRMT1; PDLIM5; ADGRG3; SHANK3; PDLIM1; KALRN; ENSG00000223786; NRG3; CNTNAP3B; FBXL7; NRG2; ATP8B1; TIMP3; GPM6A; SEMA3A; NXN; MMRN1; UIMC1; KIAA1217; SLC2A1; PTPRM; PPFIBP1; ST3GAL6; FP671120.1; AL357507.1; TNS1; ENSG00000286406.1; BNC2; CCL21; DOCK5; SNTG2; HECW2; LINC02147; NVL; ITGA9; CCSER1; RELN; KIF13A; CAPZA2; PLEKHG1; EFNA5; FCHSD2; BMS1P10; TSHZ2; TSPAN5; DLGAP2; SCN3B; ENSG00000229618; LINC01748; RHOJ; PROX1; CNKSR3; CALCRL; APOLD1; SEMA3D; EGFL7; BCL2L2; MRC1; DMKN; NTS; ST6GALNAC3; STON2; LAMA4; ZNF385D; PCDH7; ROBO2; IL1R1; VWF; SVIL; OIT3; TLL1; STOX2; PTPRE; FLI1; CYP39A1; GRAPL; TFPI; ZNF451; STAB2; F2RL3; ADAMTS18; ABCB1; ELK3; PGM5; RAPGEF5; PIEZO2; ENSG00000235122.4; TSPEAR; ZNF521; PARD6G; LINC02197; ENSG00000287923; PDE10A; NR2F1; EFEMP1; LRRC1; TM4SF18; TFF3; FLRT2; ENSG00000223786.1; HAPLN3; ZFPM2; NRP2; FLT1; GNAT3; TMEM255B; GALNT15; FLT4; ELOVL7; COLEC12; PTPRB; ERG; GNG11; PDE7B; CHST15; CALCRL-AS1; PDE1A; NPAS3; TTN; ADGRG6; IL1RL1
"0,0",CL:0002350,endocardial cell,606,290,PTPRM; IL1R1; NRG3; PCDH7; PKHD1L1,SELP; SULF1; OTC; RAMP3; ITLN1; CP; SLC17A3; SHROOM2; PKHD1L1; PTPRM; IL1R1; PCDH7; BMX; UBC; MUM1L1; NFATC1; ST6GALNAC3; NOSTRIN; NUAK1; MYRIP; OPCML; PROCR; F5; LINC02147; PCDH15; POSTN; SMOC1; LUM; CGNL1; CEMIP2; LINC02388; HMCN1; TMEM108; ALDH1A2; ADAMTSL1; NPR3; ST8SIA6; LEPR; DNASE1L3; CHRM3; NRG3; TMEM132C; SYCP2; NRG1; ADGRG6; BMPER; PWWP3B; HS3ST1; CYP1B1; ENSG00000258231; MOB1B; EMCN; THSD4; TEK; GMDS; INHBA; ITGA10; MYEF2; SLCO2A1; PPP1R13B; LINC02360; NEAT1; CDH11; PLAC9; DDX5
"0,0",CL:0000057,fibroblast,496,458,NRG3; AUTS2; LAMA2; RORA; ADAM28; RBPMS; BNC2; SOX5; ZFPM2; DMD; IL1R1; PCDH7; MEIS1; ESR1; BMPR1B,THBS1; KCNT2; NOVA1; FSTL1; MEIS2; CALCRL-AS1; EMILIN1; GPC3; ELN; PHLDA1; AOX1; ATXN1; LUCAT1; PDZRN4; PAMR1; PDZRN3; COL8A1; POSTN; DCDC2C; MMP19; GRK5; ABCA6; TSHZ2; ABCA8; GUCY1A2; CXCL14; NRG3; CRISPLD2; NCAM2; RNF150; FBLN5; LINC02388; IGFBP3; SPON1; BMP4; LPAR1; AC092957.1; LSAMP; BMP5; COL4A4; ZNF385B; SORBS1; ADAMTSL3; SVEP1; FBLN1; C7; CCBE1; PDE7B; PRKG1; LINC02511; ABCA9; CLMP; ADAMTS2; CCN4; DCLK1; MFAP5; RASAL2; SAA1; COL5A1; RBPMS; MOXD1; TBX18; NID1; NEGR1; PODN; DMD; ABCA10; COL6A1; SUN2; SULF1; CFH; ARHGAP10; SGIP1; LAMA2; ESR1; THBS2; C3; ZNF385D; PCDH7; KCNAB1; PTH1R; ITGBL1; IL1R1; MEIS1; DCN; COL6A2; TNXB; NAV3; BNC2; COL15A1; WISP1; SCARA5; NXN; GFPT2; SLIT3; BMPR1B; AKAP12; PRELP; PARD3B; RORA; ADH1B; FMO2; COL3A1; SCN7A; MEG3; GPC6; CDH19; SH3PXD2B; IGFBP5; ADAMTS12; C11orf96; RUNX1T1; LINC01088; OGN; TNC; COL1A1; ADAM28; MIR100HG; SERPINF1; APOD; PRR16; PLEKHH2; MYOC; SGCD; COL6A3; PDGFRA; ITGA8; LUM; ABCC9; PID1; ENSG00000230333; FBN1; ISLR; ZFPM2; ENSG00000286481; SMOC2; SLIT2; DIAPH2; SOX5; NTRK2; AUTS2; NKAIN2; TNFRSF12A; PDE3A; CCDC80; NGF; ATRNL1; CYP1B1; CDH11; VIT; MMP2; ABI3BP; CACNB2; FHL1; CILP; FN1; EFEMP1; MFAP4; COL5A2; ZFP36L2; NR2F1; BICC1; COL1A2
"0,0",CL:0000129,microglial cell,474,470,TRPS1; NRG3; MPPED2; BNC2; SOX5; DMD; LRMDA; ADAM28,CSF3R; CH25H; BIN1; ARHGAP22; MS4A4A; CD83; VSIG4; MSR1; IRAK3; CD86; LILRA6; MARCHF1; NCKAP5; S100A9; RTN1; USP3; SCIN; AC022098.1; RNASE1; KCNK13; SAMSN1; ST6GAL1; HTRA1; TLR2; FRMD4A; CD14; NR4A2; ENSG00000227531; ENPP2; AP003481.1; ENSG00000287684; ABCC4; CD80; AC074327.1; TBC1D2; SYNDIG1; BLNK; RASGEF1C; F13A1; ATP8B4; EPB41L3; BNC2; LRRK2; AC008691.1; HLA-DPB1; CD74; SYK; LINC01141; SPP1; DOCK8; KCNMA1; CLEC7A; LNCAROD; LRMDA; PDK4; LPAR6; SLC2A5; OLR1; P2RY13; LY86; SLC1A3; ADAMTS10; HLA-DRA; IL12B-AS1; C3; SLCO2B1; DOCK4; P2RY12; CX3CR1; RGS1; THBS1; DENND3; CPED1; WDFY4; DPYD; KLHL6; RHBDF2; TFEC; FYB1; SOX5; LINC02712; CSF1R; PLXDC2; MPPED2; ENSG00000226571; APBB1IP; TNFRSF1B; ARHGAP24; CLEC5A; CSF2RA; DMD; ENTPD1; DLEU1; PLXNC1; IKZF1; SRGAP2; PFKFB3; ENSG00000280560; VPS8; PIK3R5; APAF1; SLC11A1; SFMBT2; RNASET2; LAPTM5; CIITA; RNU4-61P; IGSF21; MILR1; FCGBP; MS4A6A; LDLRAD4; MMP9; IL18; DOCK2; HS3ST4; ZNF804A; ITGAX; CD163; AC120193.1; ACSL1; HAMP; PTPRC; MERTK; NRG3; C1QB; ST18; NPL; FCGR2A; RBPJ; TMEM156; ARHGAP15; LINC02384; MIR646HG; TRPS1; ADAM28; INPP5D; RPS6KA3; AOAH; P3H2; PTCH2; TBXAS1; AC068992.1; FAM177B; FCGR2B; LYZ
"0,0",CL:4023017,sst GABAergic interneuron,461,461,BICD1; NPAS3; MACROD2; PCDH7; MPPED2; DMD; KIAA1217,PRDX1; LRRC4C; RPLP2; ADCY8; SAMD5; GRIK2; ZKSCAN7; BICD1; TSHZ3; PTPRT; CTNND2; CDH13; IDI1; PTPRR; PDE1A; PCDH7; AC093523.1; ST6GALNAC5; COL25A1; CDH9; PCDH15; ROBO1; PTN; GALNT14; NRXN1; GPC6; SST; MAN1A1; NETO1; GRM5; KIAA1217; GAD1; NREP; DMD; MPPED2; ARX; ELFN1; SLC35F1; ADAMTSL1; SLC27A6; SPOCK3; STXBP6; SYNPR; GRIK1; TRPM3; MCUB; KIF26B; LINC01965; PLCH1; NXPH1; HS3ST4; GRIK3; LHFPL3; DPP10; MACROD2; PCDH11X; RELN; PMS1; PDE4B; FRMD4A; SHISA6; GRID2; ROBO2; CRB2; RALYL; NRXN3; FLT3; PTCHD4; SATB1-AS1; TMEM132D; KLF5; NPAS3; GALNTL6; LHX6; PAWR; FBN2; DKK2; CDH18; GRM1; SORCS1; SOX6; DLGAP2; KLHL1; GABRG3; TRHDE; GRIN3A; THSD7B; MAF; XKR4; NPAS1; CDH12; LINC00535; MAGI1; SLC24A4
"0,0",CL:0000897,"CD4-positive, alpha-beta memory T cell",369,365,UBE2D2; BNC2; AUTS2; TRPS1; PTPRM; ADGRL2; LAMA2; RORA,GZMK; NFKB1; LINC00513; DUSP16; COL4A1; TUBA4A; CXCR6; UBE2D2; ADAM19; SOCS3; ITM2A; HECW2; SEC11C; ODF2L; LAMA2; MFHAS1; AUTS2; SEC14L1; DPP4; MIAT; ICOS; TOB1; ANK3; STAT4; CD69; JAML; MOCOS; ARL4C; CFL2; DUSP2; HERPUD1; TRAT1; CYLD; CDKN1B; GPR183; NCALD; CD27; PPP2R5C; C15orf53; CYTIP; CDC14A; ADGRL2; LAT; PTGER2; MPZL3; MAL; ANXA1; P2RY8; PRKCQ; RCAN3; TRAC; IL32; GATA3; ERN1; PLP2; CD2; TRADD; NDUFB9; TTC39C; TNFAIP3; AC006369.1; PDE4D; CCL5; LEF1; EVL; CD3G; TRBC1; PTPN7; GPR171; PBX4; PLIN2; SPOCK2; S100A4; CCR6; CDKN2D; TNFSF8; CLEC2D; SLU7; IL7R; ARID5B; SYNE2; LTB; KLRB1; CD5; AP3M2; FOXO1; BNC2; FLT3LG; BICDL1; S100P; STK4; FAM102A; PRDM1; CD28; LDB2; CORO1B; LINC01871; LEPROTL1; ITGB1; GZMA; INPP4B; TUBB4B; PHACTR2; ARHGAP15; IFITM1; CD6; NOSIP; HELB; TRPS1; TENT5C; KRTCAP2; ACTG1; CD7; STK17A; CD3E; TNFRSF25; PTGER4; LDHB; THEMIS; TCF7; DAD1; LINC-PINT; CRYBG1; GRK5; SAMSN1; PTPRM; BCL11B; TNFRSF4; CD3D; FRY; APOL6; PRKCA; CD52; KLF12; PWWP3A; CD96; SLFN5; ITK; AQP3; CXCR4; TC2N; TRBC2; PRICKLE2; JUN; MDFIC; MGAT4A; ENSG00000284686.1; TNXB; SFXN1; RORA; CRIP1; TNFAIP8; ALOX5AP; CAMK4; TM2D3; CD40LG; LYAR; PLK3; HNRNPM; TIMP1; NKTR; HSPA8
"0,0",CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",297,296,FYB2; AUTS2; BNC2; KIAA1217; PTPRM; LAMA2; RORA,C1orf21; PRKCH; PSMC3; TNFAIP8; RNF157; TWISTNB; LAMA2; ROR1; ARSA; PRDM1; SLA; SDCBP; ZNF264; BCL2; JUN; PATL2; AHNAK; DDX3Y; ENSG00000271204; PTPN13; CYTH1; IL32; NSD3; PDCD4; ZNF404; RBIS; MT2A; NFKB2; TUBA4A; EVI2B; YWHAQ; SKAP1; TRBV20-1; TTC19; CNBP; RNF149; ADAM19; LINS1; CCDC91; C15orf53; CD3G; CCL4; HOPX; ENSG00000273319; KLF2; MIA3; TXNIP; CDC42EP3; ITK; AQP3; TRBV7-2; TMEM63A; TNFRSF25; STK4; THEMIS; CYTH4; SGPP2; RGS1; RORA-AS1; CCL20; CREM; LEMD3; MYBL1; SUSD3; MRPS35; CCL5; PDE4D; GZMB; FYB1; CD6; GZMA; RHOH; TRAC; C21orf91; SLC25A11; MAP3K4; KIAA1217; ODF2L; ANKRD44; HNRNPLL; TRBV6-2; SYNE1; ACTR10; GPR171; GZMH; NEDD8; ERN1; AUTS2; PDE4B; PLCB1; CD5; CD3D; SEC61A2; SETD2; RORA; CX3CR1; FOSB; DHX9; TRBC2; MPHOSPH8; PSMA3-AS1; PLAC8; EPB41; CD52; PBXIP1; PRR5; EML4; ANXA1; STK17B; SYNE2; LTB; KLRB1; GNLY; TLE4; SERINC5; CD69; CCSER2; TNFAIP3; TTC39C; CD40LG; CCND3; RNF213; CNOT6L; STAT4; PTPN1; SPOCK2; AC013652.1; BIRC3; CYLD; TRAT1; AC058791.1; CAMK4; ITGB1; LINC01871; ITM2A; FGFBP2; KLRG1; CCR6; RNF125; TAX1BP3; IL18R1; IL7R; CLEC2D; DSTN; TMIGD2; ICOS; AAK1; DGKA; LEPROTL1; YME1L1; SESN1; CD96; XPNPEP3; TNF; C12orf75; SLC4A10; BNC2; CD70; GPR65; NKG7; TGFBR3; PCSK7; MXD4; TAGAP; DXO; CA10; FUNDC1; JAML; CD320; CYTOR; FTX; TENT5C; SH3KBP1; GOLGA8B; PIP4K2A; FIS1; POLR3GL; MPZL3; PTPRM; TNFRSF4; BCL11B; MAF; CYTIP; CDC14A; PTGER4; PTGER2; PHLDA1; CD2; TRBC1; SYTL2; MDM4; TRGV9; GPR183; TRBV2; TRIM22; MAP4K1; CD4; FYB2; ANKRD28; CD3E; EMB; IL4I1; MACF1; KLF3; ALOX5AP; TRAV26-2; S1PR4; ITGA4; BATF
"0,0",CL:0000787,memory B cell,242,223,AUTS2; UBE2D2; SOX5; MACROD2; PKHD1L1; ADAM28,CD52; TSC22D3; PLEKHG7; SEL1L3; HHEX; CD22; C9orf78; FCRL3; UBE2D2; LINC00926; BLK; TNFRSF13B; MARCKS; ADAM28; SCIMP; ZBED5; P2RX5; EBF1; COL19A1; FCRL5; GABARAPL2; TNFRSF13C; SUZ12P1; MEF2C; CD79B; LY9; PRKCB; IGLC2; ECE1; C16orf74; CHCHD10; ANGPTL1; CD79A; FCRL1; AC120193.1; CPNE5; OSBPL10; PHLPP1; PKHD1L1; BANK1; RALGPS2; SOX5; COCH; LTB; LINC01781; WDFY4; MS4A1; ARHGAP24; CXXC5; MACROD2; CD24; HLA-DPA1; ZEB2; GNG7; IGHA1; VPREB3; HLA-DMA; POU2AF1; GALNTL6; CD19; RUBCNL; HLA-DQB1; AIM2; NT5E; JCHAIN; FAM129C; MARCH1; FCRLA; IGHA2; HLA-DQA1; AUTS2; TCF4; PLEKHG1; AFF3; ARID5B; LINC01857; PAX5; CD82
"0,0",CL:0000186,myofibroblast cell,236,229,BICD1; ADAM28; PTPRM; RBPMS; SOX5; LAMA2; RORA; MEIS1; PCDH7; MACROD2; BNC2; IL1R1; DMD; ZFPM2; ERBB4; NPAS3; BMPR1B; ESR1,MAGI2; MFAP5; LINC01082; ST6GALNAC5; PID1; ADAMDEC1; KCNMA1; PRKD1; LRRN3; ADAMTSL1; CHSY3; NALF1; IGFBP3; SMAD3; MMP16; TGFB3; CTHRC1; GEM; MFAP4; ADAM12; TENM4; PIEZO2; THBS4; LRP1; LINGO2; FBLN1; CASC15; PRKG1; GRID2; TNMD; FAM161B; PITX1; PLEKHG2; KIAA1755; AOX1; PTPRM; LPAR1; GAB2; LINC00578; ADAMTSL3; SORBS1; RBPMS; HECW1; AF165147.1; COL5A1; CSKMT; FAM46A; DCLK1; COL16A1; SDK1; EMILIN1; VCAN; ANTXR1; PCSK5; LUM; SLC7A2; SVEP1; DYNC1I1; PBX1; PDE3A; MEG3; DIO2; SEPT11; COMP; NR2F1; SOX4; COL1A2; CRISPLD2; FSTL1; TGFBR3; KCNT2; SOX5; MIR99AHG; TNFRSF11B; IL1R1; ITGBL1; AFTPH; ABCA6; DYNC1LI1; RAB8B; NR2F1-AS1; COL5A2; FOXO1; NAV3; PEX5L; BNC2; LEPR; CFH; ESR1; LAMA2; ANO3; MXRA8; THBS2; CCDC80; BICD1; COL21A1; ASPN; ABCA8; PDGFRB; RORA; PLAT; SNHG18; ADH1B; SLC22A3; ATP10A; MEIS1; DCN; ROBO2; ZNF385D; PCDH7; MACROD2; HHIP; CACNA1D; SYNPO2; TNC; OGN; LINC01088; NEXN; ICA1L; AL445426.1; ABCA9; SPARC; HPSE2; PTGER3; DMD; HGF; COL11A1; ACTG2; LMOD1; VAMP5; FBLN5; TM9SF3; PLEKHH2; ADAMTS9-AS2; COL12A1; SGCZ; ELN; LINC01482; NEGR1; RNF150; GASK1B-AS1; TSHZ2; THSD4; CDH11; DTNA; POSTN; COL4A1; IGF1; SLIT2; LTBP1; FGF14; FAM198B-AS1; FHL2; CCBE1; PPP1R3C; C7; CARMN; BMPR1B; SIDT1; RBMS3-AS2; MUCL1; SPECC1; INPP5B; CACNA1C; MACC1-OT1; LINC02296; PCDH10; SEMA5A; TWIST2; COL3A1; PDGFRA; COL6A3; PDZRN3; PWRN1; MSRB3; ZFHX3; RBL1; CXCL12; ABI3BP; LAMB1; PRR16; APOD; LSAMP; TAGLN; NPAS3; EDNRA; NFASC; RYR2; ADAM28; COL1A1; MIR100HG; PALLD; SLC38A2; STAMBPL1; TLN2; AGTR1; FBN1; LNX1; IL1RAPL1; ACTA2; PRKCZ; ISLR; ZFPM2; GLI3; LXN; ABCA10; DACH1; HMCN1; SMC4; NPHP3; ERBB4; AADACL2-AS1; SETBP1; FN1; MYH11; TMOD1; GUCY1A2; GALNT17
"0,0",CL:0002543,vein endothelial cell,201,194,PTPRM; BNC2; AUTS2; ADGRL2; MPPED2; NRG3; IL1R1; PKHD1L1,STARD8; APLNR; IER3; LRRC1; PCED1B; SOX13; CAV2; DLC1; CDH5; TMEM178B; IFNGR1; STOX2; NAMPT; LRRC32; CLEC14A; GLO1; ADGRL2; SNTG2; BMPER; SLCO2A1; RNF144B; POSTN; INSR; LINC02147; TPO; GPM6A; PLVAP; MPPED2; TNXB; ADGRG6; ACKR1; AFF3; FAM155A; ZNF385D; MYRIP; CPE; VWF; TLL1; PKHD1L1; BNC2; TMTC1; ST8SIA6; IL1R1; PTPRM; PLEKHF2; FOXO1; HDAC9; TSHZ2; PTPRB; RAMP3; PMP22; PLCXD3; RAPGEF4; NLRP1; CLU; SELP; LIPG; HLA-E; ABCD3; EMCN; NUAK1; P3H2; SAMD5; ANO2; AUTS2; CNTNAP3B; SULT1B1; HRH1; MGP; C7; NALF1; PLA2G4A; PRSS23; MMRN1; NRG3; FBXL7; CLIC2; PLA1A; LIFR; TGFBR3; PECAM1; PDLIM1; RHOC; ENSG00000249207; NECTIN2
"0,0",CL:0000940,mucosal-associated invariant T cell,179,168,MPPED2; AUTS2; PTPRM; LAMA2; RORA,MPPED2; SIK3; NBPF3; TNFAIP8; SUPT5H; TASOR2; STAT4; YY1; CD69; MPHOSPH8; NDUFB9; BIN2; TRIB2; TRGC1; PGK1; VPS13C; RAB18; PRKCH; TNFAIP3; TC2N; CTSW; PTMS; IL23R; TTC9C; TRAF3IP3; RBMS1; KDSR; PNN; GZMA; BCL9L; CST7; HLA-F; MAF; MYBL1; SLC7A5; TGFBR3; RAPGEF6; PSMA6; CCL5; SLC4A10; PRR5; CCL4; HERPUD2; IL32; TLE1; SP140; PTPRM; KMT5C; SYTL2; SNHG15; MATK; LPIN2; AQP3; DHX36; LTB; GPR171; CHD1; KLRG1; MPZL3; JMJD6; BHLHE40; A2M; STAG2; CNOT6L; TAC4; TRAV1-2; RORA; GNG2; ENSG00000276216; ABCB1; TRGC2; ATG2A; GBP5; KLRB1; NCR3; DEK; CCR6; ATF7IP2; SLC38A1; NFKBIZ; DPP4; CD3G; TRDV2; MT2A; SFRP1; CERK; GZMK; CASK; FLT3LG; ARID1B; B3GALT2; IL7R; DUSP2; ARL4C; PRF1; DUSP4; SPOCK2; MTRNR2L12; TMIGD2; STK26; TRDC; ENSG00000226471; GPR65; GLO1; CTSA; LYAR; EML4; PHACTR2; CD8A; LAG3; PREX1; NSRP1; LAMA2; ALKBH5; NKG7; FLOT1; PBX4; AUTS2; ERN1; LINC01871; LINC01644
"0,0",CL:0001065,innate lymphoid cell,158,147,MPPED2; ADGRL2; RBPMS; UBE2D2; RORA; AUTS2; IL1R1,ENTPD1; RUNX2; AC106739.2; PER1; TTLL10; PREX1; DPP8; TNFRSF4; AL691403.2; MPPED2; KRT81; KLRB1; CTSF; ZFP36L1; SCART1; TNFRSF25; XCL1; TEC; SPINK2; VEZT; LTB; FURIN; TNFRSF18; ICOS; ABCA2; PCDH9; RBPMS; SLC43A2; KIT; TRIM47; WDR86-AS1; IL1R1; PPP1R9A; TNFSF11; TMIGD2; AC092652.2; IL7R; HPGD; ZBTB46; LINC00299; GDAP2; LIF; GRIN2A; GPR183; RGCC; IL23R; IL4I1; FLT3LG; KRT86; UBE2D2; RORC; TSC22D3; SCN1B; GPRIN3; GATA3; XCL2; PGAP3; CMC1; AC091045.1; LMNA; RNF207; TLE1; N4BP3; TOB1; SRGAP3; ZG16B; AQP3; FXYD1; PTP4A3; AUTS2; FLNB; RPS6KA3; CCR7; RORA; AC118555.1; AL357793.1; TMPRSS11E; PRR5; IL18; TRGC1; TOX2; CAMK4; FXYD7; CYP2E1; SCML4; ADGRL2
"0,0",CL:0000818,transitional stage B cell,158,158,AUTS2; SOX5; MACROD2; ADAM28,CDK9; AP002075.1; AFF3; MCM5; PAX5; AL928742.1; TNFRSF13C; BACH2; IGHG3; AL031848.2; PLEKHG1; ARHGAP24; IGHD; CD79B; ANKRD36C; MPP6; FCRLA; IGHG1; SSPN; BANK1; FCRL5; EBF1; MS4A1; AUTS2; ADAM28; LINC01857; SOX5; RALGPS2; FCRL2; IGHM; HLA-DOB; GLCCI1; BACE2; IGHG2; IGLC2; CADPS2; CD19; MACROD2; AC120193.1; SEMA4B; JADE3; BLK; TNFRSF13B
"0,0",CL:0000788,naive B cell,157,155,ERBB4; SOX5; PTPRM; MEIS1; AUTS2; PCDH7; MACROD2; PKHD1L1; ADAM28,FCMR; ZNF331; STEAP1B; TRAF5; CR1; PLEKHG1; ZNF385B; BTG2; RALGPS2; TFDP2; ARHGAP24; CLEC17A; BANK1; NIN; PTPRM; AFF3; MS4A1; ROR2; PKHD1L1; OSBPL1A; MEIS1; PCDH9; RPL27A; COBLL1; FCRLA; HLA-DQB1; HLA-DPA1; IGHM; IGKC; IGHD; CD79A; FCER2; MAMDC2; ADAM28; CD40; SLC8A1; TNFRSF13C; ANK3; LINC00926; BLK; ATP11A; AC120193.1; FCRL1; PMAIP1; FLYWCH1; FCRL5; ACSM3; JARID2; SOX5; RPS10; VPREB3; MEF2C; CD79B; LY9; LTB; MACROD2; ANKRD44; HLA-DMB; BIRC3; STAG3; CD37; PCDH7; FAM129C; ID3; CCR7; ERBB4; ZMYND11; AUTS2; IGHV3-30; BACH2; C16orf74; CD22; TCL1A; TMED10; CD74; SESN3
"0,0",CL:4028003,alveolar capillary type 2 endothelial cell,151,114,NRG3; MEIS1; KIAA1217; MPPED2; ADGRL2,CYP3A5; ST5; NPAT; MEIS1; AFAP1L1; BTNL9; EGFL7; AQP1; MPPED2; FENDRR; NCALD; EDNRB; PKIA; IL1RL1; KCNN2; PXN; HECW2; PDE1C; CDH13; ADGRL4; HPGD; F2RL3; TBX2; KIAA1217; KHDRBS2; CHRM3; ADGRL2; EMCN; PREX1; PRICKLE2; NRG3; AL627171.2; RHOB; GALNT18; TSPAN15; TSHZ2; CA4; SERPINE1; FLT1; MYZAP; NEDD9; CLEC1A; ITGA1; PLCXD3; PODXL; VIPR1; TBX2-AS1; LAMA5; TSPAN12; LINC02197; CLDN5; PACS1; TBX3; CHRM2; KALRN; RTN1; TMEM233; BCL6B; APLN; DENND2B; STXBP6
"0,0",CL:0000232,erythrocyte,140,130,ESR1; ERBB4; BNC2; BMPR1B; LAMA2; RORA; SOX5; NRG3; PTPRM; MEIS1; PCDH7; MACROD2; ADGRL2; OXR1; MPPED2; DMD; IL1R1; ZFPM2; AUTS2,FOXP2; NOX4; PER1; MYO1B; LPAR1; LINC00578; SAMD12; AHCYL1; DLG2; LAMB1; PTN; HBA2; CEP95; DCLK1; AC020637.1; SDK1; SLIT2; RBFOX1; SYNPO2; GRID2; RORA; MIR99AHG; CPEB4; PRKG1; RBMS2; ZNF536; AC011921.1; CCBE1; DMD; UQCRB; NRG3; ETS2; ZFPM2; SLC24A3; HNRNPL; GULP1; ADAMTSL2; CRISPLD2; SPP1; GALNT17; CCDC102B; USP53; COL6A3; MAPK10; MIR4435-2HG; ADGRL2; SOX5; LSAMP; CADM1; ZHX1; CHSY3; BMPR1B; TTC28; INPP4B; PTPRG; PTPRM; ITGBL1; IL1R1; NEGR1; CEMIP; IGF2BP2; CARMN; VWA8; CABLES1; PLXDC2; CDH11; ALAS2; CSMD1; TDP1; PPARD; MEIS1; COL1A1; LINS1; COL3A1; ZBTB16; NRXN3; BICC1; ENSG00000243620; GHR; PDGFC; NAALADL2; TGFBR3; DLC1; CNTNAP2; LDLRAD3; AKAP12; PSME4; CACNA1C; DST; AUTS2; MPPED2; ITGA4; LTBP1; ZNF385D; ROBO2; LAMA4; PCDH7; SNED1; FBLN1; KAZN; FN1; AC092378.1; ADGRB3; LRP1B; RYR2; CRB1; MACROD2; GALNT15; TIMP3; TSHZ2; GPC6; PLCL2; ADAMTS12; PTPRD; PLCB1; CACNB2; IGF1R; PARD3B; PABPN1; BNC2; PRKAR2A; LAMA2; ESR1; LINC02511; OXR1; SECISBP2; PLEKHA1; PDZRN3; NAV1; ERBB4; ADAMTSL3; FGF14; ADCY2; NKAIN2; RGCC; COL5A2; WNK1; PBX1; HS3ST4; MYH11
"0,0",CL:0000037,hematopoietic stem cell,136,131,NPAS3; BMPR1B; ESR1; ERBB4; MPPED2; LRMDA; NRG3; MEIS1; ADAM28; RBPMS,LAPTM4B; LIMCH1; AC090673.1; FAM69B; DPYSL3; CACNB2; ZNF467; AC139720.1; C1QTNF4; CALN1; RMI1; ITGA9; PRL; GATA2; CASC15; HOXA10; NPAS3; CD109; CNTNAP5; MAMDC2; ZNF521; AJ009632.2; SPNS3; MEIS1; NEGR1; MDK; DCK; PTMS; SOX4; CHRM3; NPR3; CRHBP; RBPMS; COL5A1; CERS4; PROM1; LINC02573; GUCY1A1; AVP; PLCB4; EMID1; CYTL1; NKAIN2; DANT2; SPINK2; GPC5; SRPRA; MME; ADGRG6; MPPED2; PRKG1; ANGPT1; AFAP1L2; ESR1; MTURN; LRMDA; ZNF385D; AIG1; MYB; HMGA2; NRG3; TRIM55; ERG; POC5; MED12L; SCN3A; SHANK3; PEG10; DYTN; BMPR1B; HEMGN; COL24A1; KIAA1211; PCDH9; HOPX; KCNQ1OT1; CD34; TUBA1B; AC011139.1; ZNF433; KRT18; MYCT1; ERBB4; ADAM28; EMC3; DACH1; SMIM24; BAALC
"0,0",CL:0002144,capillary endothelial cell,132,128,RBPMS; PCDH7; PKHD1L1; PTPRM; IL1R1; NRG3; KIAA1217; ADGRL2,TNFSF10; SLCO2A1; RASAL2; IGF2; VWA1; RASGRF2; COL4A1; RGS5; MCF2L; ESM1; RBPMS; PLPP3; FOXC1; EDN1; PKHD1L1; ABLIM3; TCIM; FABP5; CD300LG; NOTCH4; EMCN; RAPGEF4; RAMP3; PTPRB; GPIHBP1; KDR; AFAP1L1; BTNL9; LDB2; KIAA1217; SMAD6; IL1RL1; PLVAP; PXDN; SYN3; IL1R1; PTPRM; F8; HECW2; MEG3; FLT1; MYO1E; EPAS1; FCN3; NEDD9; CD36; ADGRL2; CHRM3; ANO2; DYSF; VIPR1; ADGRF5; PLXNA2; ARHGEF28; NOSTRIN; MAGI1; SLC6A4; PCDH7; LNX1; JAM3; CRHBP; PLXND1; FRYL; NRG3; RGCC; BMP6; FENDRR; ADGRL4; PDGFD; PECAM1; IVNS1ABP; VWF; OIT3; CLVS1; IGFBP5; GALNT18; DACH1; CAVIN2; LINC02388
